review_id,customer_id,product_id,rating,review_date,title
1,3,6,2,2024-03-02,Review 001
2,5,11,3,2024-03-03,Review 002
3,7,16,4,2024-03-04,Review 003
4,9,21,5,2024-03-05,Review 004
5,11,26,1,2024-03-06,Review 005
6,13,1,2,2024-03-07,Review 006
7,15,6,3,2024-03-08,Review 007
8,17,11,4,2024-03-09,Review 008
9,19,16,5,2024-03-10,Review 009
10,21,21,1,2024-03-11,Review 010
11,23,26,2,2024-03-12,Review 011
12,25,1,3,2024-03-13,Review 012
13,27,6,4,2024-03-14,Review 013
14,29,11,5,2024-03-15,Review 014
15,1,16,1,2024-03-16,Review 015
16,3,21,2,2024-03-17,Review 016
17,5,26,3,2024-03-18,Review 017
18,7,1,4,2024-03-19,Review 018
19,9,6,5,2024-03-20,Review 019
20,11,11,1,2024-03-21,Review 020
21,13,16,2,2024-03-22,Review 021
22,15,21,3,2024-03-23,Review 022
23,17,26,4,2024-03-24,Review 023
24,19,1,5,2024-03-25,Review 024
25,21,6,1,2024-03-26,Review 025
26,23,11,2,2024-03-27,Review 026
27,25,16,3,2024-03-28,Review 027
28,27,21,4,2024-03-29,Review 028
29,29,26,5,2024-03-30,Review 029
30,1,1,1,2024-03-31,Review 030
